Fri May 13 01:25:00 2022    rainbow.prof

         261175591 function calls (251697514 primitive calls) in 1047.331 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   687613    0.394    0.000   29.567    0.000 from_data.py:7(array)
   882756    0.304    0.000    0.304    0.000 core.py:75(shape)
  1173266    0.303    0.000    0.438    0.000 board.py:133(n2t)
    37172    0.303    0.000    1.312    0.000 board.py:263(__reverse)
   260192    0.293    0.000   15.878    0.000 functions.py:503(affine)
  1486732    0.284    0.000    0.284    0.000 multiarray.py:613(min_scalar_type)
688052/316132    0.265    0.000    0.317    0.000 layers.py:31(params)
   148672    0.251    0.000    0.312    0.000 optimizers.py:225(biased_lr)
     9292    0.250    0.000    0.274    0.000 drl_rainbow.py:269(probs)
        2    0.248    0.124    0.248    0.124 {built-in method _pickle.dump}
     9292    0.244    0.000    0.554    0.000 search.py:177(where)
    55752    0.234    0.000    0.234    0.000 basic.py:7(empty)
   594688    0.224    0.000    2.027    0.000 dims.py:132(expand_dims)
   306636    0.222    0.000    0.429    0.000 core.py:131(add_func)
    38085    0.210    0.000    4.664    0.000 board.py:209(somewhere_placable)
    32049    0.205    0.000    0.333    0.000 inspect.py:744(cleandoc)
   631861    0.204    0.000    0.204    0.000 {built-in method math.ceil}
    65044    0.202    0.000    2.402    0.000 utilitys.py:8(xp_sum_to)
  130/127    0.199    0.002    0.204    0.002 {built-in method _imp.create_dynamic}
     9292    0.199    0.000    0.200    0.000 {method 'fill' of 'cupy._core.core.ndarray' objects}
     9292    0.197    0.000    0.198    0.000 functions.py:82(forward)
    37170    0.191    0.000   31.223    0.001 drl_rainbow.py:338(add)
    18584    0.185    0.000    2.212    0.000 join.py:135(<listcomp>)
   148672    0.169    0.000    0.169    0.000 core.py:117(clear_grad)
     9312    0.166    0.000    0.285    0.000 basic.py:196(zeros)
     9292    0.164    0.000   39.685    0.004 optimizers.py:18(update)
      360    0.160    0.000    0.160    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    83628    0.154    0.000    5.705    0.000 functions.py:68(backward)
   297344    0.153    0.000    0.214    0.000 {built-in method _heapq.heappop}
   130096    0.146    0.000    5.851    0.000 functions.py:536(relu)
  1176462    0.136    0.000    0.136    0.000 {built-in method builtins.divmod}
   297344    0.128    0.000    0.128    0.000 core.py:209(<listcomp>)
    83628    0.127    0.000    3.243    0.000 functions.py:381(sum_to)
    37168    0.126    0.000    8.121    0.000 functions.py:496(backward)
     9376    0.119    0.000    0.119    0.000 {method 'memset_async' of 'cupy.cuda.memory.MemoryPointer' objects}
   297344    0.119    0.000    0.119    0.000 core.py:108(set_creator)
   706192    0.118    0.000    0.118    0.000 core.py:215(__lt__)
    56263    0.115    0.000    0.130    0.000 contextlib.py:102(__init__)
    65048    0.108    0.000    2.519    0.000 functions.py:55(sub)
   297344    0.108    0.000    0.164    0.000 {built-in method _heapq.heappush}
  1173266    0.108    0.000    0.108    0.000 board.py:64(__iter__)
    74340    0.107    0.000    3.661    0.000 functions.py:420(average)
   176556    0.105    0.000    0.613    0.000 functions.py:240(forward)
    18584    0.103    0.000    1.880    0.000 functions.py:413(backward)
    74336    0.093    0.000    0.737    0.000 functions.py:284(transpose)
   297344    0.090    0.000    0.090    0.000 core.py:203(<listcomp>)
56263/56230    0.088    0.000    0.183    0.000 contextlib.py:139(__exit__)
     9292    0.086    0.000    0.086    0.000 drl_rainbow.py:404(<listcomp>)
   297344    0.084    0.000    0.084    0.000 core.py:143(<listcomp>)
        1    0.083    0.083    0.083    0.083 {built-in method cupy_backends.cuda.libs.nvrtc.compileProgram}
      573    0.081    0.000    0.081    0.000 {built-in method io.open_code}
   474580    0.077    0.000    0.077    0.000 multiarray.py:498(can_cast)
    74340    0.075    0.000    2.753    0.000 functions.py:410(forward)
    83628    0.074    0.000    0.630    0.000 functions.py:19(backward)
     3462    0.072    0.000    0.072    0.000 {built-in method nt.stat}
     9292    0.069    0.000    0.408    0.000 layers.py:42(clear_grads)
    74336    0.069    0.000    5.444    0.000 functions.py:485(matmul)
    18584    0.067    0.000    3.908    0.000 join.py:122(stack)
     9292    0.067    0.000    0.348    0.000 basic.py:160(ones_like)
    74336    0.066    0.000    0.066    0.000 {method 'transpose' of 'cupy._core.core.ndarray' objects}
   111512    0.062    0.000    0.114    0.000 core.py:17(using_config)
   148673    0.061    0.000    0.061    0.000 {built-in method math.sqrt}
    27876    0.058    0.000    0.058    0.000 {built-in method cupy._core._routines_manipulation.broadcast_to}
      632    0.057    0.000    0.057    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   314104    0.055    0.000    0.081    0.000 utils.py:330(<genexpr>)
   453147    0.053    0.000    0.053    0.000 {method 'append' of 'list' objects}
    65044    0.052    0.000    2.454    0.000 functions.py:375(forward)
    27876    0.051    0.000    0.433    0.000 functions.py:365(broadcast_to)
     9356    0.051    0.000    0.082    0.000 basic.py:25(_new_like_order_and_strides)
     9292    0.050    0.000    0.844    0.000 functions.py:47(backward)
      173    0.050    0.000    0.050    0.000 {built-in method io.open}
     8616    0.049    0.000    0.132    0.000 inspect.py:2274(_signature_from_function)
    74336    0.047    0.000    4.639    0.000 functions.py:476(forward)
   176556    0.045    0.000    0.045    0.000 functions.py:237(__init__)
56263/56230    0.044    0.000    0.134    0.000 contextlib.py:130(__enter__)
   300717    0.044    0.000    0.044    0.000 {method 'add' of 'set' objects}
    56263    0.044    0.000    0.174    0.000 contextlib.py:279(helper)
    74336    0.042    0.000    0.779    0.000 core.py:91(T)
      573    0.039    0.000    0.039    0.000 {built-in method marshal.loads}
   117470    0.039    0.000    0.040    0.000 {built-in method builtins.setattr}
        1    0.039    0.039 1047.332 1047.332 drl_rainbow.py:1(<module>)
    74336    0.038    0.000    0.105    0.000 functions.py:272(forward)
    27876    0.038    0.000    0.192    0.000 utilitys.py:24(reshape_for_broadcast)
   159388    0.037    0.000    0.037    0.000 {built-in method builtins.id}
    65044    0.036    0.000    0.036    0.000 utilitys.py:14(<listcomp>)
    37172    0.035    0.000    0.077    0.000 board.py:257(__set_stone)
8766/8725    0.035    0.000    0.188    0.000 inspect.py:2369(_signature_from_callable)
    37172    0.034    0.000    1.424    0.000 board.py:252(put_stone)
    37172    0.034    0.000    0.034    0.000 board.py:189(setbit_stone_exist)
    46464    0.033    0.000    0.173    0.000 core.py:28(no_grad)
     9292    0.032    0.000    0.179    0.000 optimizers.py:20(<listcomp>)
     9342    0.030    0.000    0.030    0.000 {built-in method numpy.arange}
38085/37172    0.029    0.000    4.705    0.000 board.py:282(can_continue)
    27876    0.029    0.000    0.157    0.000 functions.py:358(forward)
   296565    0.028    0.000    0.028    0.000 {method 'lstrip' of 'str' objects}
 3037/265    0.028    0.000    0.076    0.000 sre_parse.py:493(_parse)
     9292    0.027    0.000    0.027    0.000 drl_rainbow.py:412(<listcomp>)
     9292    0.026    0.000    0.026    0.000 drl_rainbow.py:411(<listcomp>)
       66    0.026    0.000    0.026    0.000 {method 'get' of 'cupy._core.core.ndarray' objects}
     9292    0.026    0.000    0.026    0.000 drl_rainbow.py:414(<listcomp>)
     1944    0.026    0.000    0.107    0.000 {built-in method builtins.sum}
    23433    0.026    0.000    0.043    0.000 inspect.py:2628(__init__)
   312240    0.026    0.000    0.026    0.000 {built-in method unicodedata.east_asian_width}
    74340    0.026    0.000    0.026    0.000 functions.py:406(__init__)
     9292    0.026    0.000    0.708    0.000 functions.py:94(div)
      626    0.026    0.000    0.026    0.000 {built-in method zlib.crc32}
     9292    0.025    0.000    1.604    0.000 functions.py:219(forward)
    27876    0.025    0.000    0.397    0.000 functions.py:243(backward)
      216    0.025    0.000    0.359    0.002 artist.py:1422(get_setters)
     5433    0.025    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     1425    0.024    0.000    0.024    0.000 {method 'read' of '_io.BufferedReader' objects}
    18584    0.023    0.000    0.626    0.000 functions.py:39(neg)
    67649    0.023    0.000    0.023    0.000 board.py:192(setbit_stone_black)
    33099    0.021    0.000    0.359    0.000 inspect.py:725(getdoc)
     9292    0.021    0.000  367.475    0.040 drl_rainbow.py:243(sample)
     9292    0.020    0.000    0.020    0.000 drl_rainbow.py:410(<listcomp>)
   136597    0.019    0.000    0.019    0.000 {method 'startswith' of 'str' objects}
1759/1586    0.019    0.000    0.814    0.001 {built-in method builtins.__build_class__}
     9292    0.019    0.000    1.729    0.000 functions.py:210(backward)
     8837    0.017    0.000    0.027    0.000 inspect.py:2911(__init__)
    38083    0.017    0.000    0.017    0.000 {method 'split' of 'str' objects}
    74336    0.017    0.000    0.017    0.000 functions.py:269(__init__)
      621    0.017    0.000    0.105    0.000 std.py:355(format_meter)
    65044    0.016    0.000    0.016    0.000 functions.py:372(__init__)
      409    0.016    0.000    0.016    0.000 {built-in method builtins.compile}
 3850/260    0.015    0.000    0.040    0.000 sre_compile.py:71(_compile)
    74355    0.015    0.000    0.015    0.000 {method 'append' of 'collections.deque' objects}
     9097    0.015    0.000    0.015    0.000 {method 'search' of 're.Pattern' objects}
    27386    0.015    0.000    0.315    0.000 artist.py:1441(is_alias)
    18584    0.015    0.000    1.628    0.000 join.py:35(concatenate)
    74964    0.015    0.000    0.015    0.000 board.py:107(state)
       80    0.014    0.000    0.014    0.000 {method 'load' of 'cupy.cuda.function.Module' objects}
      439    0.014    0.000    0.014    0.000 {built-in method builtins.dir}
      162    0.014    0.000    0.014    0.000 {built-in method _hashlib.openssl_sha1}
    13190    0.013    0.000    0.015    0.000 {method 'format' of 'str' objects}
    27876    0.013    0.000    0.071    0.000 dims.py:116(broadcast_to)
    32060    0.013    0.000    0.013    0.000 {method 'expandtabs' of 'str' objects}
      216    0.012    0.000    0.235    0.001 artist.py:1347(get_aliases)
43453/43369    0.012    0.000    0.030    0.000 {method 'join' of 'str' objects}
     9292    0.012    0.000    1.555    0.000 functions.py:232(get_item)
      389    0.012    0.000    0.013    0.000 sre_compile.py:276(_optimize_charset)
    38085    0.012    0.000    0.012    0.000 board.py:278(turn_change)
       18    0.011    0.001    0.109    0.006 __init__.py:19(default_rng)
    24503    0.010    0.000    0.018    0.000 enum.py:358(__call__)
     4000    0.010    0.000    0.115    0.000 artist.py:1375(get_valid_values)
        1    0.010    0.010    0.010    0.010 {built-in method sizeHint}
        1    0.010    0.010    0.010    0.010 {method 'encode' of 'ImagingEncoder' objects}
        8    0.010    0.001    0.010    0.001 backend_qt.py:675(_icon)
      216    0.010    0.000    0.018    0.000 artist.py:1358(<listcomp>)
     8616    0.010    0.000    0.014    0.000 inspect.py:66(get_annotations)
      600    0.009    0.000    0.009    0.000 {method 'write' of '_io.BufferedRandom' objects}
    25936    0.009    0.000    0.009    0.000 sre_parse.py:233(__next)
   126/71    0.009    0.000    0.148    0.002 {built-in method _imp.exec_dynamic}
     9292    0.009    0.000    1.372    0.000 _scatter.py:1(scatter_add)
       64    0.009    0.000    0.009    0.000 {method 'tobytes' of 'numpy.ndarray' objects}
    41756    0.009    0.000    0.013    0.000 sre_parse.py:164(__getitem__)
     8758    0.009    0.000    0.015    0.000 inspect.py:612(unwrap)
        3    0.009    0.003    0.009    0.003 {built-in method numpy.fromfile}
       67    0.009    0.000    0.226    0.003 format.py:699(read_array)
     1167    0.008    0.000    0.099    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
    27876    0.008    0.000    0.008    0.000 functions.py:355(__init__)
     9292    0.008    0.000    0.008    0.000 drl_rainbow.py:297(<lambda>)
 4133/565    0.007    0.000    0.009    0.000 sre_parse.py:174(getwidth)
    28448    0.007    0.000    0.009    0.000 inspect.py:2960(<genexpr>)
       84    0.007    0.000    0.007    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     9292    0.007    0.000    0.007    0.000 utilitys.py:35(<listcomp>)
    18584    0.007    0.000    0.007    0.000 core.py:83(size)
      757    0.007    0.000    0.013    0.000 {method '__exit__' of '_io._IOBase' objects}
        3    0.007    0.002    0.007    0.002 {method 'tofile' of 'numpy.ndarray' objects}
        1    0.006    0.006    0.006    0.006 {built-in method _winapi.CreateProcess}
      620    0.006    0.000    0.253    0.000 std.py:1212(update)
        1    0.006    0.006    0.006    0.006 backend_qt.py:100(_create_qApp)
    21805    0.006    0.000    0.013    0.000 sre_parse.py:254(get)
     7649    0.006    0.000    0.133    0.000 re.py:288(_compile)
        1    0.005    0.005    0.014    0.014 Image.py:1(<module>)
    43468    0.005    0.000    0.005    0.000 {method 'pop' of 'list' objects}
     8725    0.005    0.000    0.198    0.000 inspect.py:3243(signature)
    23166    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
      759    0.005    0.000    0.118    0.000 <frozen importlib._bootstrap>:921(_find_spec)
    37170    0.005    0.000    0.005    0.000 {method 'popleft' of 'collections.deque' objects}
      114    0.005    0.000    0.319    0.003 artist.py:1491(pprint_setters)
    17663    0.005    0.000    0.006    0.000 sre_parse.py:172(append)
        1    0.005    0.005    0.026    0.026 backend_qt.py:516(__init__)
      129    0.005    0.000    0.005    0.000 {built-in method nt.listdir}
     3721    0.005    0.000    0.005    0.000 std.py:233(__call__)
      573    0.005    0.000    0.173    0.000 <frozen importlib._bootstrap_external>:950(get_code)
    19655    0.005    0.000    0.006    0.000 inspect.py:277(isfunction)
     9292    0.005    0.000    0.005    0.000 {built-in method cupy._core._fusion_thread_local.is_fusing}
    43111    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
     8725    0.005    0.000    0.193    0.000 inspect.py:2989(from_callable)
     2184    0.005    0.000    0.014    0.000 inspect.py:663(_finddoc)
     9356    0.004    0.000    0.004    0.000 {built-in method cupy._core.internal._update_order_char}
     9292    0.004    0.000    0.004    0.000 drl_rainbow.py:140(__init__)
     4000    0.004    0.000    0.008    0.000 artist.py:1448(aliased_name)
    42322    0.004    0.000    0.004    0.000 {built-in method builtins.ord}
        3    0.004    0.001    0.004    0.001 {method 'read' of '_io.TextIOWrapper' objects}
   778/10    0.004    0.000    1.605    0.160 <frozen importlib._bootstrap>:1022(_find_and_load)
       67    0.004    0.000    1.689    0.025 format.py:627(write_array)
  673/260    0.004    0.000    0.077    0.000 sre_parse.py:435(_parse_sub)
    24487    0.004    0.000    0.004    0.000 enum.py:670(__new__)
       64    0.004    0.000    0.004    0.000 {method 'flush' of 'zlib.Compress' objects}
     9292    0.004    0.000    0.004    0.000 core.py:87(dtype)
       30    0.004    0.000    0.023    0.001 __init__.py:759(_rc_params_in_file)
     9292    0.004    0.000    0.004    0.000 utilitys.py:34(<listcomp>)
      633    0.003    0.000    0.069    0.000 ansitowin32.py:177(write_and_convert)
     3395    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
     1146    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      360    0.003    0.000    0.188    0.001 zipfile.py:980(_read1)
    45846    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
     2110    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     9292    0.003    0.000    0.003    0.000 functions.py:214(__init__)
     2110    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:100(acquire)
     2417    0.003    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.003    0.003    0.003    0.003 {built-in method mkl._py_mkl_service.get_version}
    21146    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
        2    0.003    0.002    0.012    0.006 font_manager.py:1311(_findfont_cached)
     5433    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
      633    0.003    0.000    0.004    0.000 ansitowin32.py:245(convert_osc)
     1405    0.003    0.000    0.012    0.000 tokenize.py:431(_tokenize)
  740/739    0.003    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:1390(_get_spec)
     9690    0.003    0.000    0.003    0.000 {method 'upper' of 'str' objects}
     2263    0.003    0.000    0.004    0.000 ntpath.py:124(splitdrive)
     9292    0.003    0.000    0.003    0.000 {method 'count' of 'tuple' objects}
